epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,541.721,2.67516,1.17189,0.68354,1.77217,0.00629,4.10067,0.7024,0.44897,0.50411,0.22611,0,0,0,0,2.25074,0,0.91455,1.17063,0.00581,0,0.00998758,0.00332919,0.00998758,0.00332919,0.00998758,0.00332919,0.00998758,0.00332919
2,932.567,2.35318,0.6901,0.62506,1.26671,0.00426,1.01171,0.72193,0.48254,0.53999,0.26572,0,0,0,0,2.09649,0,0.91874,1.17202,0.00532,0,0.0199216,0.00664054,0.0199216,0.00664054,0.0199216,0.00664054,0.0199216,0.00664054
3,1260.37,2.33845,0.6301,0.54352,1.301,0.00417,0.72387,0.71533,0.46932,0.52906,0.25567,0,0,0,0,2.11979,0,0.98841,1.18874,0.00545,0,0.0297897,0.00992989,0.0297897,0.00992989,0.0297897,0.00992989,0.0297897,0.00992989
4,1571.74,2.34629,0.63073,0.47194,1.33687,0.00416,0.5831,0.72387,0.47239,0.52882,0.25416,0,0,0,0,2.14383,0,1.16239,1.20763,0.00545,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1894.91,2.32083,0.60323,0.43832,1.33702,0.00414,0.41574,0.72638,0.45924,0.52664,0.2575,0,0,0,0,2.16267,0,1.20615,1.20834,0.00554,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,2207.76,2.29664,0.5799,0.41433,1.3189,0.00406,0.26012,0.72139,0.47171,0.53625,0.24745,0,0,0,0,2.1702,0,1.39103,1.211,0.00539,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,2523.42,2.31409,0.58019,0.40887,1.32239,0.00401,0.20866,0.72693,0.4804,0.54259,0.25851,0,0,0,0,2.14318,0,1.53838,1.20245,0.00535,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,2836.3,2.28421,0.56898,0.40025,1.31457,0.00402,0.17767,0.73007,0.48446,0.54918,0.26616,0,0,0,0,2.08643,0,1.39941,1.16702,0.00518,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,3151.7,2.28483,0.56632,0.39728,1.31696,0.00397,0.15447,0.73188,0.48857,0.5579,0.27876,0,0,0,0,2.06235,0,1.45731,1.16007,0.00518,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,3464.6,2.28286,0.55191,0.38499,1.30652,0.00397,0.12512,0.74567,0.50282,0.56867,0.27912,0,0,0,0,2.0638,0,1.62811,1.16847,0.00513,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,3778.32,2.26464,0.54135,0.3778,1.29959,0.00394,0.13066,0.71111,0.46788,0.53055,0.25494,0,0,0,0,2.13194,0,1.68383,1.20374,0.00533,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,4093.03,2.26443,0.54529,0.37458,1.29069,0.00392,0.08833,0.74458,0.49836,0.56905,0.2848,0,0,0,0,2.04235,0,1.56148,1.13085,0.00501,0,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,4404.64,2.24501,0.53563,0.37351,1.28878,0.00389,0.08945,0.73308,0.49501,0.56123,0.2699,0,0,0,0,2.08141,0,1.63279,1.17622,0.00502,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,4719.61,2.26801,0.51885,0.3677,1.29016,0.00386,0.07331,0.72055,0.47911,0.54948,0.26647,0,0,0,0,2.09626,0,1.72472,1.13165,0.0051,0,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,5033.89,2.23043,0.53075,0.36713,1.28306,0.00389,0.07433,0.74342,0.48634,0.55742,0.27944,0,0,0,0,2.03782,0,1.84434,1.14745,0.00499,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,5348.9,2.24725,0.52624,0.36963,1.27295,0.00381,0.06663,0.74017,0.50355,0.57356,0.28284,0,0,0,0,2.03519,0,1.73048,1.11335,0.00493,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,5663.74,2.23463,0.51195,0.36443,1.27316,0.00379,0.05248,0.74895,0.49781,0.57084,0.27912,0,0,0,0,2.04721,0,1.66265,1.12421,0.00496,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,5984.23,2.23582,0.51542,0.36465,1.26555,0.00375,0.05149,0.72997,0.49607,0.56908,0.28445,0,0,0,0,2.04605,0,1.77549,1.12444,0.00494,0,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,6304.27,2.23268,0.49337,0.35306,1.26299,0.00381,0.0441,0.76286,0.5163,0.59331,0.29761,0,0,0,0,2.00228,0,1.79399,1.08274,0.00482,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,6632.19,2.24065,0.50148,0.36337,1.27119,0.00376,0.04585,0.7436,0.50567,0.57925,0.29016,0,0,0,0,2.01383,0,1.7962,1.10467,0.00482,0,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,6960.29,2.20665,0.5028,0.35913,1.25313,0.00379,0.04834,0.75179,0.50355,0.58212,0.29761,0,0,0,0,1.99325,0,1.79116,1.08992,0.00482,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,7279.25,2.20889,0.50027,0.3558,1.25974,0.00372,0.03855,0.74225,0.50723,0.58091,0.28907,0,0,0,0,2.01661,0,1.85999,1.09579,0.00485,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,7595.34,2.18712,0.47888,0.35006,1.24808,0.00371,0.02996,0.76141,0.50713,0.58231,0.29557,0,0,0,0,2.00169,0,1.86713,1.10628,0.00479,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,7911.89,2.20545,0.49845,0.35712,1.24482,0.00371,0.032,0.74278,0.5072,0.58375,0.29228,0,0,0,0,2.01475,0,1.9581,1.08727,0.00477,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,8228.45,2.19581,0.49658,0.35086,1.24108,0.00365,0.0252,0.7471,0.51509,0.58881,0.29735,0,0,0,0,1.98467,0,1.96933,1.08406,0.00473,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,8542.82,2.1903,0.49346,0.35554,1.24167,0.00371,0.02892,0.74061,0.51106,0.58587,0.29195,0,0,0,0,2.0019,0,1.93968,1.09494,0.00477,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,8859.39,2.2097,0.48364,0.35134,1.22816,0.00368,0.02191,0.76519,0.52524,0.60345,0.30811,0,0,0,0,1.9709,0,2.00657,1.05621,0.0047,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,9171.41,2.17739,0.48367,0.34748,1.22145,0.00369,0.02768,0.75246,0.51511,0.59158,0.29949,0,0,0,0,1.98697,0,1.98391,1.07173,0.00472,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
