epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,559.051,1.90108,0.25009,0.29964,1.00205,0.00294,-2.55847,0.77871,0.57443,0.6647,0.35164,0,0,0,0,1.83225,0,1.89475,0.93271,0.00427,0,0.00998758,0.00332919,0.00998758,0.00332919,0.00998758,0.00332919,0.00998758,0.00332919
2,957.304,1.88734,0.26328,0.28978,0.99852,0.00296,-2.40975,0.77671,0.5827,0.66817,0.36299,0,0,0,0,1.78157,0,1.96761,0.92672,0.00421,0,0.0199216,0.00664054,0.0199216,0.00664054,0.0199216,0.00664054,0.0199216,0.00664054
3,1291.59,1.92501,0.26112,0.28622,1.02046,0.00305,-2.06772,0.79184,0.55955,0.65075,0.34724,0,0,0,0,1.85227,0,1.85748,0.95873,0.00436,0,0.0297897,0.00992989,0.0297897,0.00992989,0.0297897,0.00992989,0.0297897,0.00992989
4,1610.26,1.96146,0.28704,0.29937,1.05128,0.00311,-1.87059,0.78851,0.572,0.65879,0.35215,0,0,0,0,1.82632,0,1.83948,0.96026,0.00436,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1939.26,1.9651,0.29863,0.30238,1.05745,0.00317,-1.79943,0.78363,0.55996,0.64752,0.3381,0,0,0,0,1.88376,0,1.83936,0.97627,0.00446,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,2263.84,1.9584,0.28955,0.29888,1.04314,0.00315,-1.79311,0.76707,0.56804,0.65113,0.34,0,0,0,0,1.87735,0,1.8908,0.98274,0.00444,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,2592.16,1.97371,0.30447,0.30337,1.06608,0.00313,-1.72896,0.77298,0.55776,0.64674,0.32993,0,0,0,0,1.90229,0,1.85702,0.99313,0.00451,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,2916.07,1.95707,0.29532,0.30744,1.06169,0.00317,-1.78388,0.76815,0.56353,0.64397,0.34163,0,0,0,0,1.84027,0,1.86824,0.98142,0.00439,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,3232.85,1.97235,0.30541,0.30706,1.06084,0.00316,-1.74381,0.77612,0.57479,0.65803,0.35174,0,0,0,0,1.84111,0,1.87187,0.95333,0.00436,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,3549.38,1.97378,0.29675,0.30143,1.06216,0.00316,-1.73742,0.78821,0.57583,0.65938,0.35057,0,0,0,0,1.84175,0,1.90136,0.95246,0.00439,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
