epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,557.814,2.47107,1.00533,0.67081,1.55325,0.00503,3.22994,0.73766,0.52495,0.59496,0.27797,0,0,0,0,2.1033,0,0.89348,1.05893,0.00521,0,0.00998758,0.00332919,0.00998758,0.00332919,0.00998758,0.00332919,0.00998758,0.00332919
2,966.696,2.20458,0.55782,0.61112,1.19395,0.00381,0.4731,0.74029,0.52212,0.5872,0.2971,0,0,0,0,1.98316,0,0.85643,1.09043,0.00501,0,0.0199216,0.00664054,0.0199216,0.00664054,0.0199216,0.00664054,0.0199216,0.00664054
3,1309.4,2.23592,0.54835,0.52193,1.27955,0.0039,0.46205,0.72656,0.48332,0.55186,0.26604,0,0,0,0,2.11257,0,0.98686,1.20338,0.00548,0,0.0297897,0.00992989,0.0297897,0.00992989,0.0297897,0.00992989,0.0297897,0.00992989
4,1632.58,2.26414,0.5731,0.46883,1.33496,0.00399,0.37223,0.72924,0.4938,0.55206,0.27333,0,0,0,0,2.05041,0,0.99431,1.26299,0.00524,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1980.12,2.24905,0.55928,0.43632,1.33714,0.00399,0.22948,0.71966,0.47058,0.54523,0.27166,0,0,0,0,2.08862,0,1.17146,1.20913,0.0053,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,2311.56,2.22237,0.52533,0.40343,1.30407,0.0039,0.13125,0.72783,0.48345,0.55206,0.26077,0,0,0,0,2.11762,0,1.5298,1.228,0.00532,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,2639.57,2.23287,0.52705,0.39148,1.2999,0.00384,0.10402,0.72026,0.50307,0.57151,0.27291,0,0,0,0,2.08594,0,1.48552,1.16431,0.00516,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,2963.6,2.19906,0.50862,0.37875,1.28587,0.00383,0.07239,0.76203,0.51915,0.59102,0.29937,0,0,0,0,1.97226,0,1.69314,1.11414,0.00489,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,3291.43,2.19412,0.50575,0.37633,1.26861,0.00377,0.06789,0.7443,0.52298,0.59494,0.30327,0,0,0,0,1.9846,0,1.69195,1.0912,0.00488,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,3617.83,2.18094,0.48095,0.36534,1.24476,0.00373,0.05678,0.74901,0.53691,0.60899,0.30993,0,0,0,0,1.96993,0,1.7322,1.07731,0.00486,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,3947.47,2.16085,0.46764,0.35771,1.23339,0.0037,0.04541,0.73608,0.50111,0.57601,0.28912,0,0,0,0,2.00713,0,1.75258,1.09729,0.0049,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,4271.72,2.15938,0.46744,0.3507,1.22176,0.00367,0.03467,0.75928,0.53534,0.61092,0.30088,0,0,0,0,1.99679,0,1.75082,1.07429,0.00487,0,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,4600.41,2.13203,0.45791,0.34966,1.20875,0.00362,0.04246,0.74901,0.53154,0.60661,0.30049,0,0,0,0,1.98746,0,1.68188,1.06979,0.00476,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,4929.72,2.14376,0.43655,0.34688,1.20716,0.00357,0.03117,0.73229,0.52479,0.59837,0.3023,0,0,0,0,1.94466,0,1.72798,1.07743,0.00466,0,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,5258.17,2.11168,0.4501,0.3475,1.18843,0.00358,0.02539,0.75548,0.53588,0.60665,0.30978,0,0,0,0,1.94485,0,1.89162,1.07591,0.00469,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,5587.35,2.13357,0.44792,0.34845,1.1829,0.00354,0.03022,0.7681,0.54449,0.62393,0.31824,0,0,0,0,1.91769,0,1.87891,1.03999,0.00457,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,5919.23,2.10918,0.42226,0.34453,1.17614,0.00349,0.0177,0.75103,0.54699,0.62469,0.31925,0,0,0,0,1.93167,0,1.73303,1.02516,0.00464,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,6255.77,2.11471,0.43262,0.33891,1.17895,0.00347,0.0253,0.7601,0.54291,0.62082,0.31849,0,0,0,0,1.9298,0,1.95397,1.03883,0.00463,0,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,6621.42,2.10538,0.40765,0.33412,1.16918,0.00351,0.02092,0.77184,0.56169,0.64151,0.33322,0,0,0,0,1.8845,0,1.85672,1.00321,0.00447,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,6948.69,2.11866,0.42296,0.34135,1.17508,0.00346,0.01895,0.76721,0.54882,0.62725,0.3245,0,0,0,0,1.9088,0,1.93718,1.00967,0.00454,0,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,7278.25,2.08288,0.41078,0.33203,1.15293,0.00348,0.01945,0.76092,0.54778,0.62602,0.32829,0,0,0,0,1.895,0,1.95051,1.01051,0.00449,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,7604.32,2.0797,0.40878,0.33075,1.14526,0.00341,0.01961,0.76176,0.55275,0.63364,0.32673,0,0,0,0,1.90409,0,1.7973,0.99721,0.00448,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,7931.76,2.0651,0.3931,0.32747,1.13092,0.00341,0.01688,0.77394,0.55358,0.64097,0.33699,0,0,0,0,1.87398,0,1.97837,0.98904,0.00443,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,8259.44,2.07624,0.41297,0.33372,1.14661,0.0034,0.01378,0.75833,0.55437,0.6361,0.32776,0,0,0,0,1.89411,0,1.98317,1.00135,0.00447,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
